date,Close,Open,High,Low,Volume
2022/1/4,866.022644,878.9870549,880.715643,864.2940559,6635600
2022/1/5,877.2584229,875.5298348,885.901363,872.9369528,10428200
2022/1/6,859.1082153,881.5798588,884.1727407,854.7867454,12511500
2022/1/7,891.0872192,870.3441608,891.0872192,869.4798667,13425000
2022/1/11,880.7156372,887.6299896,890.2228718,870.3441086,9143100
2022/1/12,940.3518677,899.7300499,942.0804557,898.8657559,19142400
2022/1/13,951.5877686,957.637827,966.2807677,942.0805338,13376500
2022/1/14,941.2161255,945.5375953,947.2661832,929.980304,10351900
2022/1/17,970.6020508,977.516402,986.159341,961.0948179,12398800
2022/1/18,987.0237427,991.3452127,1001.716741,978.3808027,14551000
2022/1/19,975.7879028,993.9380764,999.1238403,973.1950209,14095100
2022/1/20,966.2806396,959.366288,968.8735215,945.5375848,11822100
2022/1/21,908.3729858,907.5086918,915.2873378,884.1727541,19888000
2022/1/24,949.8590698,921.3373689,951.5876578,918.744487,16043100
2022/1/25,948.1306763,941.2163231,955.0450294,936.0305582,12567700
2022/1/26,942.9447632,975.7879355,982.7022876,942.9447632,11076600
2022/1/27,944.6734009,961.0949879,975.7879868,942.9448128,13943300
2022/1/28,970.6020508,965.4162874,971.4663447,950.7232911,10993600
2022/1/31,998.2597046,976.6523517,1004.309763,971.466587,14016200
2022/2/1,963.6878052,993.938095,995.666683,960.2306292,11927700
2022/2/2,983.5666504,962.8235927,985.2952385,948.1305936,14638500
2022/2/3,992.2095947,979.2451836,993.0738888,976.6523014,7280700
2022/2/4,1004.309753,1015.545577,1019.867047,994.8025182,10722200
2022/2/7,1014.681152,1016.40974,1021.595504,1009.495388,11755800
2022/2/8,1016.409729,1004.309613,1017.274023,994.8023793,7971900
2022/2/9,991.3450928,986.1593294,997.39515,968.8734516,17968800
2022/2/10,987.8880005,1000.85241,1006.902468,985.2951186,14086100
2022/2/14,1052.710083,1023.324087,1054.438671,1022.459793,25403800
2022/2/15,1018.138367,1037.152835,1042.3386,1012.952603,17149600
2022/2/16,983.5666504,978.380886,983.5666504,957.6378283,21301900
2022/2/17,1011.223938,993.9380587,1024.188347,978.3807674,19359000
2022/2/18,977.5166016,1005.174012,1006.038306,973.1951312,13907500
2022/2/21,974.0594482,985.2952715,995.6668007,966.2808014,8568400
2022/2/22,990.480957,989.616663,997.3953093,973.1950765,11075800
2022/2/24,1062.217285,989.6165919,1062.217285,987.02371,31552800
2022/2/25,998.2597046,1006.038352,1015.545587,979.245234,21476200
2022/2/28,1024.188477,1023.324182,1044.931534,1011.224065,20411900
2022/3/1,1056.167236,1054.438648,1069.131646,1037.152769,22540600
2022/3/2,1137.410767,1101.974717,1152.103763,1081.231663,34172200
2022/3/3,1161.611084,1149.510969,1188.404197,1148.646675,35553900
2022/3/4,1155.561157,1144.325334,1170.254156,1133.089512,24135500
2022/3/7,1234.211792,1243.719026,1244.58332,1205.690091,32930600
2022/3/8,1159.018311,1236.804774,1241.990539,1151.239664,33794500
2022/3/9,1156.425415,1175.439884,1194.454352,1150.375357,21006400
2022/3/10,1159.882568,1072.588873,1163.339744,1072.588873,28524100
2022/3/11,1201.368652,1180.625596,1206.554416,1176.304127,19834800
2022/3/14,1203.09729,1201.368702,1212.604524,1165.068353,18516000
2022/3/15,1120.98938,1151.239672,1159.882612,1095.924852,23768300
2022/3/16,1114.939331,1081.231863,1120.989389,1075.181805,16427500
2022/3/17,1139.139648,1097.653531,1139.139648,1095.924943,14387900
