date,Close,Open,High,Low,Volume
2024/1/4,1981.5,1944.5,1987.5,1922.5,11.54
2024/1/5,1981.5,1967.5,1981.5,1958.5,5.54
2024/1/9,1952.5,1956,1973,1939,6.88
2024/1/10,1951,1952,1957.5,1941,6.06
2024/1/11,1957.5,1964.5,1980.5,1952,6.52
2024/1/12,2010.5,1991,2010.5,1968,10.34
2024/1/15,2050,2039,2063,2028,9.5
2024/1/16,2054,2051,2057.5,2033,6.63
2024/1/17,2005.5,2055,2062.5,2005.5,8.5
2024/1/18,1990.5,1995,2010,1974,8.02
2024/1/19,1992.5,1998,1998.5,1980.5,6.82
2024/1/22,2001.5,1987,2001.5,1973.5,7.36
2024/1/23,1998,2011,2021.5,1988,6.04
2024/1/24,1998.5,2004,2016.5,1993,5.16
2024/1/25,1989,2015,2021.5,1989,4.8
2024/1/26,1984.5,2025,2041,1983.5,7.63
2024/1/29,2066,2034,2074.5,2032,11.4
2024/1/30,2053.5,2050,2062,2040.5,4.94
2024/1/31,2045,2055,2057,2038,4.63
2024/2/1,2039,2025,2043,2020.5,4.2
2024/2/2,2020.5,2018,2023,2003.5,5.25
2024/2/5,2026,2033.5,2036.5,2009,4.28
2024/2/6,1977,2015.5,2026,1977,7.36
2024/2/7,2024.5,2016.5,2031.5,1999.5,7.23
2024/2/8,2006,2038,2040,2005,5.17
2024/2/9,1995.5,2029,2050.5,1988.5,8.89
2024/2/13,2013.5,2010,2050,1976.5,18.42
2024/2/14,1975,2024.5,2031.5,1965,10.72
2024/2/15,1933,1967.5,1971.5,1923,9.35
2024/2/16,1998.5,1964,2014,1960.5,11.8
2024/2/19,2033.5,2000,2039.5,1995,5.76
2024/2/20,2019,2042,2042.5,2008.5,4.55
2024/2/21,1980,2000,2008,1968,9.86
2024/2/22,2016.5,2005.5,2019.5,2000,7.73
2024/2/26,1984,2018.5,2023.5,1981,8.32
2024/2/27,1990,1983,2002.5,1980.5,6.41
2024/2/28,2000.5,2000,2013.5,1984.5,19.06
2024/2/29,2011,2036,2050,1990.5,11.9
2024/3/1,2068,2013,2084.5,2013,10.89
2024/3/4,2080.5,2095,2123,2072.5,7.94
2024/3/5,2109,2071,2128,2069,7.91
2024/3/6,2145.5,2118,2149,2107,6.13
2024/3/7,2154,2159,2178,2145.5,6.71
2024/3/8,2169,2148.5,2174,2132,6.4
2024/3/11,2059.5,2126,2130.5,2035.5,9.57
2024/3/12,2064,2058.5,2072.5,2022.5,6.85
2024/3/13,2054.5,2079,2096,2037.5,5.03
2024/3/14,2112,2092,2149,2084.5,8.88
2024/3/15,2206,2147,2239.5,2143,21.23
2024/3/18,2205,2207,2226,2185,5.92
2024/3/19,2267.5,2226.5,2285,2222,8.85
2024/3/21,2311,2267.5,2313.5,2251.5,8.43
2024/3/22,2284,2311,2325,2263.5,5.96
2024/3/25,2275,2289,2292.5,2270,4.22
2024/3/26,2270,2301,2306,2265,4.72
2024/3/27,2269.5,2285,2301.5,2269.5,5.4
2024/3/28,2299.5,2277.5,2321.5,2272,7.13
2024/3/29,2340.5,2349.5,2379,2327,8.91
2024/4/1,2279,2372,2372.5,2257,10.85
2024/4/2,2324.5,2320,2346,2299,6.52
2024/4/3,2400,2395,2440,2377.5,12.69
2024/4/4,2469.5,2444,2491.5,2440,10.42
2024/4/5,2470,2477,2530,2455.5,14.81
2024/4/8,2460,2497,2503,2426,9.82
2024/4/9,2467.5,2488.5,2488.5,2451.5,4.63
2024/4/10,2472.5,2438.5,2475,2435,4.47
2024/4/11,2568,2503.5,2599,2498,12.64
2024/4/12,2594.5,2566.5,2598,2539.5,7.54
2024/4/15,2587.5,2599,2628,2567,9.35
2024/4/16,2494.5,2558,2563.5,2485.5,10.27
2024/4/17,2428,2473,2493,2403.5,8.7
2024/4/18,2373,2328,2384,2305.5,9.65
2024/4/19,2409,2350,2498,2320,28.03
2024/4/22,2389.5,2391,2441.5,2346,10.1
2024/4/23,2395.5,2420,2428,2393,5.43
2024/4/24,2435,2429,2449,2421.5,4.6
2024/4/25,2360,2420,2426.5,2359.5,5.62
2024/4/26,2373,2363,2396,2358,6.02
2024/4/30,2392.5,2373,2412,2360,6.55
